JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460079.725619,11.894,0.009,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.084,Z,16.779,16.401,,PNV J17224490-4137160,VVS,STD,,,,
2460079.725793,9.548,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.083,Z,17.474,16.733,,PNV J17224490-4137160,VVS,STD,,,,
2460079.726019,11.331,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.083,Z,16.385,15.759,,PNV J17224490-4137160,VVS,STD,,,,
2460079.726233,11.889,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.083,Z,16.766,16.394,,PNV J17224490-4137160,VVS,STD,,,,
2460079.726418,9.558,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.083,Z,17.491,16.753,,PNV J17224490-4137160,VVS,STD,,,,
2460079.726632,11.319,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.082,Z,16.393,15.761,,PNV J17224490-4137160,VVS,STD,,,,
2460079.726846,11.882,0.008,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.082,Z,16.768,16.393,,PNV J17224490-4137160,VVS,STD,,,,
2460079.727031,9.567,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.082,Z,17.467,16.726,,PNV J17224490-4137160,VVS,STD,,,,
2460079.727245,11.330,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.081,Z,16.385,15.763,,PNV J17224490-4137160,VVS,STD,,,,
2460079.727471,11.904,0.009,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.081,Z,16.765,16.395,,PNV J17224490-4137160,VVS,STD,,,,
2460079.727645,9.556,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.081,Z,17.465,16.736,,PNV J17224490-4137160,VVS,STD,,,,
2460079.727894,11.317,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.081,Z,16.388,15.761,,PNV J17224490-4137160,VVS,STD,,,,
2460079.728108,11.905,0.009,,B,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.764  K =  9.373,0,1.080,Z,16.762,16.394,,PNV J17224490-4137160,VVS,STD,,,,
2460079.728281,9.564,0.006,,R,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.169  K =  8.411,0,1.080,Z,17.477,16.732,,PNV J17224490-4137160,VVS,STD,,,,
2460079.728519,11.328,0.006,,V,HMB,,APASS DR10 045-12340,APASS DR10 045-12337,X28661LS,STANDARD MAG: C =  9.360  K =  8.733,0,1.080,Z,16.378,15.759,,PNV J17224490-4137160,VVS,STD,,,,
