JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457698.94734,8.7,,,Vis.,BDJB,BL,86,89,X16832JX,"LX-90 8"" SCT 82x",,,Z,,,,TCP J18102829-2729590,ASSAU,STD,,,,
2457698.9924,8.8,,,Vis.,PEX,,86,91,X16815DS,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457699.23264,8.43,,,Vis.,DMIB,,7.9,8.6,X16832KM,Bino Vixen 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457699.23958,8.37,,,Vis.,DMIB,,7.9,8.6,X16832KM,Bino Vixen 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457699.25694,8.3,,,Vis.,PJJ,,80,86,X16889RO,,,,Z,,,,TCP J18102829-2729590,AASABADELL,STD,,,,
2457699.45486,8.6,,,Vis.,ACN,BUKV,860,790,X16815DM,,,,Z,,,,TCP J18102829-2729590,REA,STD,,,,
2457699.46389,9.0,,,Vis.,SLH,B,86,91,x16832baq,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457699.47153,8.9,,,Vis.,GLG,,8.6,9.1,X16838KB,25x100 binocs on tripod,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457699.4722,8.8,,,Vis.,AAX,,86,89,X16815EF,,,,Z,,,,TCP J18102829-2729590,NEOA-JBS,STD,,,,
2457699.4750,8.9,,,Vis.,MOW,,86,91,X16838KB,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457699.5007,9.0,,,Vis.,BZX,,8.6,9.1,X16834BT,,,,Z,,,,TCP J18102829-2729590,,STD,,,,
2457699.95278,<8.6,,,Vis.,SANG,L,8.6,,x16891pi,cannot see the star but i do see the 8.6 comparison star.,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457699.98556,9.0,,,Vis.,BDJB,BL,86,91,X16832JX,"""8\"" SCT, 82x""",,,Z,,,,TCP J18102829-2729590,ASSAU,STD,,,,
2457699.98889,9.0,,,Vis.,PEX,,88,91,X16815DS,,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
2457700.23750,8.43,,,Vis.,DMIB,,7.9,8.6,X16832KM,Bino Vixen 25x126mm,,,Z,,,,TCP J18102829-2729590,AAVSO,STD,,,,
